Date,Open,High,Low,Close,Volume,Stock Splits
1991-10-23,18.397964477539062,20.38693361024599,18.149343335950697,18.397964477539062,633000,0.0
1991-10-24,18.397965131487165,19.392449733189174,16.160374777657644,17.403480529785156,524600,0.0
1991-10-25,18.895204004748116,18.895204004748116,17.65209847811995,18.0250301361084,235500,0.0
1991-10-28,17.900720596313477,18.39796283509996,17.900720596313477,17.900720596313477,24600,0.0
1991-10-29,18.397962973151408,18.397962973151408,17.652099609375,17.652099609375,15500,0.0
1991-10-30,17.652100489689754,19.64106955895057,17.652100489689754,19.39244842529297,240200,0.0
1991-10-31,19.14382553100586,19.641067752590427,18.895204420213574,19.14382553100586,99300,0.0
1991-11-01,19.64106986397191,19.64106986397191,18.397964176378753,18.895206451416016,120500,0.0
1991-11-04,18.646584094410212,18.646584094410212,17.652099609375,17.652099609375,66400,0.0
1991-11-05,17.652100489689754,18.14934275700496,17.652100489689754,17.776411056518555,71900,0.0
1991-11-06,17.652099476920235,18.39796283509996,17.652099476920235,17.900720596313477,59300,0.0
1991-11-07,18.397962198629006,19.641067752590427,18.149341087836724,19.14382553100586,176400,0.0
1991-11-08,19.392448139190673,19.889690399169922,18.149342489242553,19.889690399169922,646600,0.0
1991-11-11,20.1383112465463,20.386932373046875,18.3979633610423,20.386932373046875,925300,0.0
1991-11-12,20.38693265914917,20.884174919128416,18.895205879211424,19.889690399169922,579000,0.0
1991-11-13,19.641067504882812,19.889688612539558,19.641067504882812,19.641067504882812,217700,0.0
1991-11-14,19.641070185480892,19.889691327069258,17.90072219436233,18.397964477539062,668400,0.0
1991-11-15,17.900720370017876,18.149341486268124,14.4200247425144,14.668645858764648,599100,0.0
1991-11-18,14.917266482398624,15.663129806518555,13.674160942198737,15.663129806518555,396800,0.0
1991-11-19,15.66313012178279,15.911751234826962,14.420024556561934,15.041577339172363,217800,0.0
1991-11-20,15.911751168673156,16.160372280683674,14.668645608620565,15.165887832641602,199400,0.0
1991-11-21,14.792956549545815,14.917267108785696,13.92278263486665,14.420024871826172,143300,0.0
1991-11-22,14.171403818545134,14.91726717741593,14.171403818545134,14.295714378356934,139500,0.0
1991-11-25,14.668645858764648,14.668645858764648,14.171403626264151,14.668645858764648,89400,0.0
1991-11-26,14.668646126462702,14.668646126462702,13.922782764100191,14.171403884887695,125800,0.0
1991-11-27,14.171403626264151,14.668645858764648,14.171403626264151,14.668645858764648,25700,0.0
1991-11-29,14.917266482398624,15.787440360538543,14.42002426631867,15.663129806518555,41500,0.0
1991-12-02,15.414508698478578,15.911750914558532,14.917266482398624,15.663129806518555,45900,0.0
1991-12-03,15.663129806518555,15.663129806518555,14.917266482398624,15.663129806518555,20100,0.0
1991-12-04,15.663129806518555,16.16037202259851,15.1658875904386,15.663129806518555,84700,0.0
1991-12-05,15.663129806518555,16.16037202259851,15.663129806518555,15.663129806518555,57800,0.0
1991-12-06,16.160371780395508,16.160371780395508,15.414508467454176,16.160371780395508,8000,0.0
1991-12-09,16.160371899604797,16.160371899604797,15.414508581161499,15.911750793457031,5300,0.0
1991-12-10,15.414509073893228,15.414509073893228,14.7929562886556,14.917266845703125,27300,0.0
1991-12-11,14.66864496214777,15.165887164254475,14.420023861094418,14.544334411621094,19700,0.0
1991-12-12,14.4200247425144,15.165888091265144,14.4200247425144,14.668645858764648,31600,0.0
1991-12-13,14.917266482398624,15.663129806518555,14.917266482398624,15.663129806518555,130400,0.0
1991-12-16,15.663130898629467,15.911752024004537,15.165888647879324,15.414509773254395,119200,0.0
1991-12-17,15.414509885451373,17.15485777574427,15.414509885451373,16.90623664855957,250600,0.0
1991-12-18,17.15485777574427,17.40347890292897,16.657615521374872,16.90623664855957,53000,0.0
1991-12-19,16.408992653462427,17.154855955892536,16.408992653462427,16.65761375427246,74700,0.0
1991-12-20,16.90623497240471,16.90623497240471,16.408992767333984,16.408992767333984,89600,0.0
1991-12-23,16.16037155265239,16.65761375427246,15.911750451842352,16.65761375427246,66300,0.0
1991-12-24,16.65761707850865,17.403480529785156,16.408995928083147,17.403480529785156,53100,0.0
1991-12-26,16.657614999347263,17.900720596313477,16.657614999347263,17.900720596313477,33900,0.0
1991-12-27,17.403480529785156,17.90072283063616,17.403480529785156,17.403480529785156,18700,0.0
1991-12-30,17.40347876065019,17.40347876065019,16.906236510345902,17.154857635498047,65500,0.0
1991-12-31,16.906235162143048,18.149340688771215,16.906235162143048,18.0250301361084,150300,0.0
1992-01-02,18.149341328938803,18.646583557128906,17.652099100748696,18.646583557128906,98300,0.0
1992-01-03,18.64658185880478,19.143824041706242,18.14933967590332,18.14933967590332,165300,0.0
1992-01-06,18.149343335950697,18.64658561912743,17.90072219436233,18.397964477539062,99300,0.0
1992-01-07,17.652098363759567,18.64658277861926,17.652098363759567,18.273651123046875,112100,0.0
1992-01-08,17.900720596313477,18.646583954493202,17.652099476920235,17.900720596313477,107400,0.0
1992-01-09,18.895206157977764,19.889690692608173,18.39796389066256,19.39244842529297,445500,0.0
1992-01-10,18.89520418191258,19.641067504882812,18.89520418191258,19.641067504882812,94100,0.0
1992-01-13,19.39244664179814,19.39244664179814,18.646583309421292,19.14382553100586,349800,0.0
1992-01-14,19.392445402325325,20.38692978193175,18.646582117620504,19.765377044677734,315500,0.0
1992-01-15,19.64106955895057,20.138311826265774,19.39244842529297,19.39244842529297,279700,0.0
1992-01-16,19.641070185480892,19.641070185480892,17.652101052773965,18.397964477539062,132900,0.0
1992-01-17,18.64658561912743,18.895206760715794,17.652101052773965,18.397964477539062,51700,0.0
1992-01-20,17.90071858445259,18.64658185880478,17.90071858445259,18.14933967590332,33500,0.0
1992-01-21,17.900721157298367,17.900721157298367,16.90623664855957,16.90623664855957,141000,0.0
1992-01-22,16.90623421864967,18.39796076735405,16.90623421864967,18.14933967590332,89100,0.0
1992-01-23,19.392446164731624,20.138309478759766,19.392446164731624,20.138309478759766,343300,0.0
1992-01-24,20.138309478759766,20.635551688111857,19.64106726940767,20.138309478759766,126300,0.0
1992-01-27,20.635553789138793,20.635553789138793,19.889690399169922,19.889690399169922,452900,0.0
1992-01-28,19.889690399169922,20.38693265914917,19.392448139190673,19.889690399169922,126800,0.0
1992-01-29,19.641069269180296,20.138311529159544,19.641069269180296,19.889690399169922,178200,0.0
1992-01-30,20.138311529159544,20.138311529159544,19.889690399169922,19.889690399169922,106000,0.0
1992-01-31,19.88969012004573,20.88417462604802,19.88969012004573,20.386932373046875,153100,0.0
1992-02-03,20.884174212287455,21.381416455437154,20.386931969137752,21.132795333862305,302900,0.0
1992-02-04,20.884174212287455,21.878658698586857,20.884174212287455,21.132795333862305,311700,0.0
1992-02-05,21.132792997896,22.37589846836047,21.132792997896,22.127277374267578,103800,0.0
1992-02-06,22.375900268554688,23.121763610839842,22.375900268554688,22.375900268554688,278300,0.0
1992-02-07,22.87314065654626,22.87314065654626,21.630035186081788,22.127277374267578,321800,0.0
1992-02-10,21.878659178308176,22.873143686413094,21.381416924255717,22.00296974182129,298800,0.0
1992-02-11,22.375900941736557,22.375900941736557,21.132795333862305,21.132795333862305,373800,0.0
1992-02-12,21.630037716456822,21.630037716456822,20.635553223746165,20.884174346923828,59400,0.0
1992-02-13,20.884173043166534,20.884173043166534,19.143825289569325,19.641067504882812,190500,0.0
1992-02-14,19.143824041706242,19.143824041706242,17.90071858445259,18.14933967590332,109200,0.0
1992-02-18,18.14934228448307,18.646584538852466,16.40899439419017,16.90623664855957,90900,0.0
1992-02-19,16.408995928083147,17.403480529785156,15.165890175955637,17.403480529785156,209800,0.0
1992-02-20,18.14934303886012,18.895206451416016,17.652100763822858,18.895206451416016,111100,0.0
1992-02-21,18.397964477539062,18.895206760715794,17.652101052773965,18.397964477539062,29000,0.0
1992-02-24,17.652099609375,18.397962973151408,17.652099609375,17.652099609375,54300,0.0
1992-02-25,17.65210168021066,18.397965131487165,16.90623822893415,17.403480529785156,39800,0.0
1992-02-26,17.652101052773965,18.895206760715794,17.154858769597233,18.397964477539062,58700,0.0
1992-02-27,18.64658185880478,18.64658185880478,18.14933967590332,18.14933967590332,35200,0.0
1992-02-28,18.646583954493202,18.646583954493202,17.652099476920235,17.900720596313477,31400,0.0
1992-03-02,17.900720730633804,18.149341851892604,17.652099609375,17.652099609375,11700,0.0
1992-03-03,17.65209749300186,18.39796076735405,17.65209749300186,18.14933967590332,13000,0.0
1992-03-04,17.6520982800108,17.6520982800108,15.663129459727894,16.408992767333984,115600,0.0
1992-03-05,16.65761411190033,16.65761411190033,15.663129687309265,15.911750793457031,53600,0.0
1992-03-06,16.160371780395508,16.160371780395508,15.663129571767954,16.160371780395508,36800,0.0
1992-03-09,16.160371780395508,16.533303436866174,15.91175067608173,16.160371780395508,31800,0.0
1992-03-10,16.906236245598592,17.652099609375,16.408994003080984,17.652099609375,28900,0.0
1992-03-11,17.652098157512608,17.652098157512608,16.408992653462427,16.65761375427246,28400,0.0
1992-03-12,17.154856197650616,17.154856197650616,15.91175067608173,16.160371780395508,110600,0.0
1992-03-13,16.160371899604797,16.160371899604797,15.663129687309265,15.911750793457031,20000,0.0
1992-03-16,15.663130187988282,15.911751302083333,14.668645731608073,14.917266845703125,73600,0.0
1992-03-17,14.917266368865967,16.160371899604797,14.917266368865967,15.911750793457031,26400,0.0
1992-03-18,16.16037202259851,16.408993130638486,15.663129806518555,15.663129806518555,31100,0.0
1992-03-19,16.160371780395508,16.160371780395508,15.663129571767954,16.160371780395508,7900,0.0
1992-03-20,16.16037166479862,16.408992767333984,15.663129459727894,16.408992767333984,24000,0.0
1992-03-23,16.408992767333984,16.408992767333984,15.911750562263258,16.408992767333984,6200,0.0
1992-03-24,16.408992767333984,16.408992767333984,15.911750562263258,16.408992767333984,3000,0.0
1992-03-25,16.160371899604797,16.408993005752563,15.414508581161499,15.911750793457031,84900,0.0
1992-03-26,16.16037202259851,16.16037202259851,15.1658875904386,15.663129806518555,29800,0.0
1992-03-27,15.165887959798177,15.414509073893228,14.668645731608073,14.917266845703125,66300,0.0
1992-03-30,15.165888227265457,15.165888227265457,14.420024871826172,14.420024871826172,62400,0.0
1992-03-31,14.420024496610047,15.165887832641602,14.420024496610047,15.165887832641602,65400,0.0
1992-04-01,15.663129687309265,16.408993005752563,15.414508581161499,15.911750793457031,105800,0.0
1992-04-02,15.911751168673156,16.160372280683674,15.165887832641602,15.165887832641602,49900,0.0
1992-04-03,15.165887959798177,15.165887959798177,14.42002461751302,14.917266845703125,31200,0.0
1992-04-06,14.420024496610047,15.663130056662638,14.420024496610047,15.165887832641602,78800,0.0
1992-04-07,15.165887832641602,15.663130056662638,14.668645608620565,15.165887832641602,66400,0.0
1992-04-08,14.420025005675198,14.917267247250205,14.171403884887695,14.171403884887695,105100,0.0
1992-04-09,14.4200247425144,14.668645858764648,14.171403626264151,14.668645858764648,75000,0.0
1992-04-10,14.420024871826172,15.165888227265457,14.420024871826172,14.420024871826172,10200,0.0
1992-04-13,14.917267108785696,14.917267108785696,14.420024871826172,14.420024871826172,9400,0.0
